name,city,address,phone,website,tier,verdict,confidence,source_url,note
Double Z Collectibles,Balzac,"260300 Writing Creek Cres Unit J22, Balzac, AB T4A 0X8",(403) 714-4634 / (403) 404-9781,,A,REVIEW,low,https://www.nearmetcg.com/stores/overtime-sports-cards-and-grading (search snippet); orig source localcardshopsnearme.com,"HELD, NOT PASTED 2026-09-04 (orchestrator, overriding INCLUDE). Its only sources are a competitor directory (localcardshopsnearme.com) and a nearmetcg page for OVERTIME SPORTS CARDS -- a different business at the same mall. That is not an independent second source for THIS shop, so it fails the publishing standard. Likely real (CrossIron Mills unit J22), but confirm from the shop itself first. Real New Horizon Mall shop; independent listing confirms it buys/sells 'NBA Cards' alongside Pokemon/Funko. Website field blank in source CSV -- has none found."
HK Collectibles,Balzac,"260300 Writing Creek Cres Unit i10, Balzac, AB T4A 0X8",(403) 918-4994,https://hkcollectibles.ca/,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory. No action.
Ikuzo Cards,Balzac,"260300 Writing Creek Cres Unit J51, Balzac, AB T4A 0X8",(587) 830-4861,https://ikuzocards.com/,A,UNVERIFIED,low,https://ikuzocards.com/,Site's SSL certificate has expired -- could not load content to confirm sports-card evidence. Needs a human to check by phone/in person or retry once the cert is fixed.
Overtime Sports Cards & Grading - NEW HORIZON MALL,Balzac,"260300 Writing Creek Cres, Balzac, AB T0M 0E0",(825) 540-1296,https://www.overtimesportscards.ca/,A,ALREADY-LISTED,high,src/data/stores.json + overtimesportscards.ca,"Same New Horizon Mall location as the store already listed as 'Overtime Sports Cards & Grading' (same address, same postal code). Not a second shop."
Senshen Collectibles,Balzac,"260300 Writing Creek Cres, Balzac, AB T4A 0X8",(403) 992-3396,http://www.senshencollectibles.com/,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory.
Earthbound Trading Card Games,Calgary,"47 Bermondsey Crescent NW, Calgary, AB T3K 1W1",,https://earthboundtcgames.square.site/,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory.
Overtime Sports Cards North Hill Centre,Calgary,"1632 14 Ave NW Unit 1683, Calgary, AB T2N 1M7",(587) 349-1296,https://www.overtimesportscards.ca/,A,INCLUDE,high,https://www.overtimesportscards.ca/ (fetched live),"CHECK THE HISTORY BEFORE PASTING (added 2026-09-04): the directory already lists ""Overtime Sports Cards & Grading"" in BALZAC, and redirects.json sends the old Calgary URL to the Balzac page -- an earlier session concluded that shop had moved. This row is sourced live from the shop's own site naming a North Hill Centre location, so a genuine second store is plausible and the slug would not clash. Confirm both locations are trading before adding, or the site will claim a store that moved is still open. Confirmed real second location of the already-listed Overtime chain -- the operator's own site lists both this North Hill Centre unit and the Balzac unit by exact address. Genuinely missing from the directory; the Balzac location is listed but this Calgary one is not."
Reliquary Cards,Calgary,"6326 Bowness Rd NW, Calgary, AB T3B 0E5",(403) 288-4926,http://www.reliquarycards.com/,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory.
Scuffed Cards,Calgary,"1336 Acadia Dr SE, Calgary, AB T2J 2V9",(403) 818-1586,http://scuffedcards.com/,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory.
Vaulted YYC - 17th Ave,Calgary,"1435 17 Ave SW, Calgary, AB T2T 0E1",(403) 474-4445,https://vaultedyyc.com/,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory.
