slug,Store Name,City,Province,reason
holler-collectibles-camrose,Holler Collectibles,Camrose,AB,matched but unrated
the-memorabilia-shop-chestermere,The Memorabilia Shop,Chestermere,AB,matched but unrated
cool-pool-cards-cold-lake,Cool Pool Cards,Cold Lake,AB,matched but unrated
personalized-sportcards-lethbridge,Personalized Sportcards,Lethbridge,AB,matched but unrated
collectible-card-caddy-okotoks,Collectible Card Caddy,Okotoks,AB,matched but unrated
sell-your-pokemon-cards-barrie,Sell Your Pokemon Cards,Barrie,ON,matched but unrated
slab-labs-tcg-greater-sudbury,Slab Labs TCG,Greater Sudbury,ON,matched but unrated
scahub-marketplace-guelph,SCAHub Marketplace,Guelph,ON,matched but unrated
mmlorcana-kingston,MMLorcana,Kingston,ON,no match
lgc-collections-saint-jean-sur-richelieu,LGC Collections,Saint-Jean-sur-Richelieu,QC,matched but unrated
