name,city,province,website,verdict,confidence,source_url,note
Battle River Sports Excellence,Camrose,AB,http://www.battleriversports.com/,CONFIRMED-NO-EVIDENCE,high,site fetched live,"Confirmed sporting-goods equipment retailer (hockey/baseball/curling gear) -- skates, sticks, gloves, bats. No trading cards anywhere on site. Leave listed per the publishing standard; this is a review finding, not a removal recommendation from this pass."
CamroseNextGen Gaming,Camrose,AB,https://sites.google.com/view/camrosenextgengaming/home,STILL-UNVERIFIED,low,"web search only, site itself is a bare Google Site","Appears to be a console-gaming lounge (PS5/Switch/Xbox), not obviously a card business, but nothing conclusively rules cards out. Needs a human/phone check."
Holler Collectibles,Camrose,AB,https://holler-computer-services-and-collectibles.square.site/s/shop,STILL-UNVERIFIED,low,site fetch returned no content; no independent source found,Site is JavaScript-rendered and returned nothing to the scraper; no other source found online. Needs a human check.
Retro,Camrose,AB,https://play-here.ca/,CONFIRMED-NO-EVIDENCE,high,site fetched live,"Confirmed to be an arcade / billiards / karaoke / food venue (""billiards to karaoke, or retro arcade fun""), not a card retailer. Likely a directory miscategorisation -- worth a human look at why it was added."
The Data Base Camrose,Camrose,AB,http://www.thedatabasecamrose.ca/,CONFIRMED-NO-EVIDENCE,medium,"web search (Chamber of Commerce, Facebook, Instagram)","Confirmed ""Camrose's number one source for retro video games, movies, and collectibles."" No trading-card mention found anywhere."
Arkane Angel,Cold Lake,AB,https://www.arkane-angel.ca/,EVIDENCE-FOUND,high,site fetched live,"Real evidence the scan missed: site explicitly lists ""SPORTS TRADING CARDS"" as a product category alongside Pokemon and Yu-Gi-Oh. Keep listed with confidence."
Capital City Cards & Collectibles,Edmonton,AB,https://www.instagram.com/capitalcitycardsyeg/?hl=en,EVIDENCE-FOUND,high,Instagram bio fetched live,"Instagram bio reads: ""We buy-sell-trade Pokemon Cards, Sports cards & collectibles in Edmonton."" The automated scan couldn't read Instagram content -- a real, documented gap in that tool, not evidence of absence. Keep listed with confidence."
Strange Ideas Comics and Collectibles,Grande Prairie,AB,https://www.strangeideascomics.ca/,STILL-UNVERIFIED,low,"site fetched live, content too vague","Site's own text is generic (""products not found in mainstream stores"") and doesn't itemize categories. Could not confirm or rule out sports cards. Needs a human check."
Evolution Sports Excellence,Leduc,AB,https://evolutionsportsexcellence.com/,CONFIRMED-NO-EVIDENCE,medium,site fetched live,"Confirmed sporting-goods/apparel retailer (hockey, baseball, slo-pitch gear). One minor ""Toys & Collectables"" sub-category exists under Baseball Accessories, but nothing confirms trading cards specifically."
Hyper Games Chamber,Slave Lake,AB,https://www.hypergameschamber.ca,EVIDENCE-FOUND,high,"web search (Lakeside Leader local news, Card Stores Online, Chamber of Commerce)","Confirmed ""video game, trading cards and collectables store"" that explicitly offers ""sports cards"" alongside Magic/Pokemon. Keep listed with confidence."
Paradise Games and Customs,Spruce Grove,AB,http://paradisegames.ca/,EVIDENCE-FOUND,high,"web search (own site's Trading Card Games page, business directories)","Confirmed to carry ""hockey cards"" explicitly, alongside MTG/Pokemon/Yu-Gi-Oh and 3D-print customs. Keep listed with confidence."
Go Go Hobbies,Coquitlam,BC,http://www.gogohobbies.ca/,CONFIRMED-NO-EVIDENCE,medium,"web search (RCGroups, Yelp)",Confirmed RC planes/cars/boats and static model kits retailer. No trading-card evidence found anywhere.
Blue Moon Collectables,Delta (Ladner),BC,https://www.bluemooncollectables.com/,EVIDENCE-FOUND,high,site fetched live,"Site's own navigation lists ""Sports Cards"" and ""Sports Memorabilia"" as explicit browse categories. Keep listed with confidence."
K&B Hobbies and Games,Vernon,BC,https://www.kbhobbies.com/,STILL-UNVERIFIED,low,"site fetched live, content too generic","Page title is only ""Board Games, Hobbies & Art Supplies"" -- too generic to confirm or rule out cards. Needs a human check."
Box Of Cards (Sports Cards),Aurora,ON,http://www.boxofcards.ca/,EVIDENCE-FOUND,high,site fetched live,"Site states outright: ""We are a local hobby shop that specializes in Sports Cards and Pokemon,"" with Topps/Upper Deck/Panini product listings across football, baseball, hockey, basketball, UFC and soccer. Strongest possible evidence -- keep listed with confidence."
Box Of Cards (Sports Cards),Barrie,ON,https://boxofcards.ca/,EVIDENCE-FOUND,high,site fetched live,"Same chain, same site, same evidence as the Aurora location above. Keep listed with confidence."
Video Time,Barrie,ON,http://www.videotime.ca/,CONFIRMED-NO-EVIDENCE,high,site fetched live,"Confirmed ""We buy and sell Video Games, Accessories & Electronics"" -- no card mention anywhere."
Stephen Licence Bicycles & Hobbies,Belleville,ON,https://stephenlicence.my.canva.site/stephenlicence/,EVIDENCE-FOUND,medium,"web search (Downtown Belleville directory, Chamber of Commerce)","A 100+ year family bicycle shop that also carries hobby supplies -- multiple independent directory listings confirm it ""sells trading cards and other hobby items."" The shop's own site is a bare placeholder, which is why the automated scan found nothing; the evidence lives off-site."
Rolls and Realms Inc.,Brantford,ON,https://www.rollsandrealms.ca/,STILL-UNVERIFIED,low,"site fetched live, content too generic","Site only says ""Shop video games, movies, and Collectables"" -- the name suggests tabletop RPGs, but nothing confirms or rules out trading cards. Needs a human check."
