name,city,address,verdict,confidence,source_url,note
Boutique du Collectionneur,Baie-Comeau,"869A Rue de Puyjalon, Baie-Comeau, QC G5C 1N3",HOLD,medium,original 2026-07-30 research note (not re-fetched),"Carried forward from the July pass: conflicting addresses, categorised 'gift shop', no card evidence found there either. Not re-verified in depth this round -- nothing suggests the situation has changed. Needs a human call, not more scraping."
TW Prestige inc,Charlemagne,"2 Rue Plourde Suite 205, Charlemagne, QC J5Z 3E8",HOLD,medium,original 2026-07-30 research note (not re-fetched); groupetw.com,"Carried forward: real, large sports-memorabilia supplier/auction house (part of the TW Sports Cards chain -- same ownership as the already-listed 'TW Chicoutimi' and 'TW Repentigny'), but a suite address, not walk-in retail. Still doesn't meet the storefront bar."
Au Royaume des Titans - Section Cartes et Jeux en Boutique,Chicoutimi,"1445-A Rue Des Champs-Elysees, Chicoutimi, QC G7H 6J2",ALREADY-LISTED,high,src/data/stores.json,"Same exact address (1445-A/1445A Rue des Champs-Elysees) as 'Kingdom of Titans,' already in the directory -- this is that store's French name. Not a second shop."
Presstine Marketing Inc,Dorval,"543 Av. Lepine, Dorval, QC H9P 2S9",HOLD,medium,original 2026-07-30 research note (not re-fetched); presstine.com,"Carried forward: real sports-card business but an office that ships, not walk-in retail. No change expected."
Jeux Mania,Mascouche,"3079 Bd de Mascouche, Mascouche, QC J7K 3B7",ALREADY-LISTED,high,src/data/stores.json,Already added to the directory since the July pass -- exact name and address match. The prior INCLUDE recommendation was acted on. No further action.
La Boutique Mythique,Quebec City,"354 Boulevard Charest E, Quebec, QC G1K 3H4",EXCLUDE,high,"laboutiquemythique.com (via search); founded by pro Magic player Pascal Maynard, ~500,000-card TCG inventory","Confirmed real and thriving (nearly 500,000 cards in stock), but exclusively Magic the Gathering / Lorcana / Star Wars Unlimited / One Piece / Pokemon -- a dedicated TCG megastore. No sports-card evidence anywhere."
Roudoudou,Rimouski,"133 Rue St Germain O, Rimouski, QC G5L 4B6",EXCLUDE,high,original 2026-07-30 research note (roudoudou.ca),"Re-confirms the July finding: toy/puzzle/game/art shop, no cards. Correctly excluded."
Boutique Awesome - Boutique de Jeux de Cartes,Saint-Hubert,"5666 Ch. de Chambly, Saint-Hubert, QC J3Y 7E5",EXCLUDE,high,"boutiqueawesome.com (via search); 160 reviews, 4.8 stars","Confirmed real, popular local game store -- but Magic/Pokemon/Lorcana only. No sports cards mentioned anywhere."
DCS Collection,Saint-Isidore-de-Laprairie,"691 Rang Saint-Regis, Saint-Isidore-de-Laprairie, QC J0L 2A0",HOLD,low,original 2026-07-30 research note (not re-fetched),"Carried forward: only corroborated by a Facebook comment, rural address, walk-in status unknown. No new evidence found this round either."
Kayys Collection,Saint-Laurent,"3131 Boulevard Cote Vertu Ouest, Saint-Laurent, QC H4R 1Y8",EXCLUDE,high,kayyscollection.com; Yelp,"Confirmed real, established toy/gift store (Funko Pop, anime merchandise) -- but not sports-card focused. Search results explicitly note it is not a sports-card retailer."
MV3.CAARDZ,Saint-Laurent,"2640 Bd Pitfield, Saint-Laurent, QC H4S 1G9",UNVERIFIED,low,no independent source found anywhere online,"Nothing found beyond the original scrape -- no website, no social media, no directory listing under this name. Possibly defunct, misspelled, or never existed independently. Needs a human check."
Hobby Champion,Sainte-Julie,"831D Montee Sainte-Julie, Sainte-Julie, QC J3E 1W9",ALREADY-LISTED,high,src/data/stores.json,Already added to the directory since the July pass (hobbychampion.com). The prior INCLUDE recommendation was acted on. Address now correctly recorded as 831D.
CF31 BREAK (DEPOT ET RAMASSAGE),Sainte-Therese,"12 Rue Lesage, Sainte-Therese, QC J7E 3E8",HOLD,medium,original 2026-07-30 research note (not re-fetched),"Carried forward: genuine sports-card business (9,400 Facebook followers) but explicitly an online shop with drop-off/pickup only, not a walk-in storefront."
Jeux 3 Dragons,Sainte-Therese,"60 Rue Turgeon, Sainte-Therese, QC J7E 3H5",ALREADY-LISTED,high,src/data/stores.json,Already added to the directory since the July pass -- exact match. The prior INCLUDE recommendation was acted on.
Jeuxjubes,Sainte-Therese,"238 Bd du Cure-Labelle, Sainte-Therese, QC J7E 2X7",ALREADY-LISTED,high,src/data/stores.json,Already added to the directory since the July pass -- exact match. The prior PROMOTE recommendation was acted on.
L'Entre-Jeux Shawinigan,Shawinigan,"3103 Bd Royal Local R33, Shawinigan, QC G9N 7C1",ALREADY-LISTED,high,src/data/stores.json,Already added to the directory since the July pass -- exact match. The prior PROMOTE recommendation was acted on.
Boutique Imaginaire de St-Bruno,St-Bruno-de-Montarville,"440 Bd des Promenades, Saint-Bruno-de-Montarville, QC J3V 6A8",ALREADY-LISTED,medium,src/data/stores.json,"Same mall (Promenades St-Bruno) as the already-listed 'L'Imaginaire St-Bruno' -- this chain's stores frequently get scraped under both the generic 'Boutique Imaginaire de [city]' phrasing and the brand name 'L'Imaginaire.' Street number differs (440 vs. 1) which is typical of large-mall unit addressing, not a second business."
Face to Face Games in Quebec,Verdun,"4425 Wellington St, Verdun, QC H4G 1W6",EXCLUDE,high,facetofacegames.com; operating since 2009,"Confirmed real, established chain -- but Magic/Yu-Gi-Oh/Pokemon only. No sports cards."
Le Roi des Cartes - Hockey & Accessoires,Beloeil,"347 Rue Duvernay, Beloeil, QC J3G 5S8",REVIEW,low,"leroidescartes.ca; local news article (oeilregional.com, 2021) on the shop's founding","DO NOT PASTE WITHOUT A HUMAN CHECK (flagged 2026-09-04 by the orchestrator, overriding this row's original INCLUDE). The directory ALREADY lists ""DSM Sports Cards Collectors (Le roi des cartes)"" in Beloeil at 272 rue Duvernay (J3G 2M2, dsmsportscardscollectors.com). This row is 347 rue Duvernay (J3G 5S8, leroidescartes.ca) -- same street, different number, postal code and website. Three possibilities and no way to choose from the desk: two real businesses on one street, one business that moved leaving our listing stale, or an earlier conflation -- the existing name carries ""(Le roi des cartes)"" in parentheses on a DIFFERENT business name, which is what a previous merge looks like. Pasting this creates a duplicate listing on a site whose only advantage is being true. Resolve by phone or a visit. Confirmed real, dedicated sports-card shop -- a father/son business that grew out of a personal card-collecting hobby during the pandemic (per a 2021 local news profile). Sells hockey, baseball, football and basketball cards plus framed jerseys. Genuinely missing from the directory."
Card Caster,Blainville,"625 Bd du Cure-Labelle Suite 5-6, Blainville, QC J7C 2J1",INCLUDE,medium,cardcastergames.com; opengovca.com corporate registry,"Mainly a Pokemon/Magic/Yu-Gi-Oh/Lorcana TCG store, but its own site explicitly lists 'Upper Deck Hockey' as a product line -- real sports-card evidence, not just TCG. Two locations (this one and a second in Mirabel/St-Canut); include this one."
Jeux A-Z Games,Chateauguay,"Bd D'Anjou #100-D, Chateauguay, QC J6K 1C4",EXCLUDE,high,jeux-az-games.com (via search); Yellow Pages,"Confirmed TCG/RPG store (Yu-Gi-Oh, Pokemon, Magic, D&D, Pathfinder). No sports cards."
